"Operation";"Channel";"Language";"Translation";"DateFormat";"TimeFormat";"DateTimeLocale";

CLOSE_LOAN;EMAIL;en;Your loan {LOAN_NAME} with id {LOAN_ID} of {AMOUNT} FCFA has been closed.;;;;
CLOSE_LOAN;SMS;en;Your loan {LOAN_NAME} with id {LOAN_ID} of {AMOUNT} FCFA has been closed.;;;;
CLOSE_LOAN;XML;en;Your loan {LOAN_NAME} with id {LOAN_ID} of {AMOUNT} FCFA has been closed.;;;;
CLOSE_LOAN;EMAIL;fr;Votre pret {LOAN_NAME} avec l'identifiant {LOAN_ID} de {AMOUNT} FCFA a ete cloture.;;;;
CLOSE_LOAN;SMS;fr;Votre pret {LOAN_NAME} avec l'identifiant {LOAN_ID} de {AMOUNT} FCFA a ete cloture.;;;;
CLOSE_LOAN;XML;fr;Votre pret {LOAN_NAME} avec l'identifiant {LOAN_ID} de {AMOUNT} FCFA a ete cloture.;;;;

INITIATE_LOAN_PAYOUT_FAILED;EMAIL;en;Payout of {AMOUNT} FCFA for loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} failed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
INITIATE_LOAN_PAYOUT_FAILED;SMS;en;Payout of {AMOUNT} FCFA for loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} failed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
INITIATE_LOAN_PAYOUT_FAILED;XML;en;Payout of {AMOUNT} FCFA for loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} failed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
INITIATE_LOAN_PAYOUT_FAILED;EMAIL;fr;Le paiement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a echoue le {COMPLETED_DATE_TIME}. ID transaction:{LOAN_TRANSACTION_ID}. ID externe :{EXTERNAL_TRANSACTION_ID}.;;;;
INITIATE_LOAN_PAYOUT_FAILED;SMS;fr;Le paiement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a echoue le {COMPLETED_DATE_TIME}. ID transaction:{LOAN_TRANSACTION_ID}. ID externe :{EXTERNAL_TRANSACTION_ID}.;;;;
INITIATE_LOAN_PAYOUT_FAILED;XML;fr;Le paiement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a echoue le {COMPLETED_DATE_TIME}. ID transaction:{LOAN_TRANSACTION_ID}. ID externe :{EXTERNAL_TRANSACTION_ID}.;;;;

INITIATE_LOAN_PAYOUT_REJECTED;EMAIL;en;Your loan payout with loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} has been rejected.;;;;
INITIATE_LOAN_PAYOUT_REJECTED;SMS;en;Your loan payout with loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} has been rejected.;;;;
INITIATE_LOAN_PAYOUT_REJECTED;XML;en;Your loan payout with loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} has been rejected.;;;;
INITIATE_LOAN_PAYOUT_REJECTED;EMAIL;fr;Le remboursement de votre pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a ete rejete;;;;
INITIATE_LOAN_PAYOUT_REJECTED;SMS;fr;Le remboursement de votre pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a ete rejete;;;;
INITIATE_LOAN_PAYOUT_REJECTED;XML;fr;Le remboursement de votre pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a ete rejete;;;;

INITIATE_LOAN_PAYOUT_SUCCESSFUL;EMAIL;en;Payout of {AMOUNT} FCFA for loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
INITIATE_LOAN_PAYOUT_SUCCESSFUL;SMS;en;Payout of {AMOUNT} FCFA for loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
INITIATE_LOAN_PAYOUT_SUCCESSFUL;XML;en;Payout of {AMOUNT} FCFA for loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
INITIATE_LOAN_PAYOUT_SUCCESSFUL;EMAIL;fr;Le paiement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
INITIATE_LOAN_PAYOUT_SUCCESSFUL;SMS;fr;Le paiement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
INITIATE_LOAN_PAYOUT_SUCCESSFUL;XML;fr;Le paiement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;

LOAN_APPLICATION_COMPLETED_AND_APPROVED;EMAIL;en;Your loan application {LOAN_PRODUCT} {AMOUNT} FCFA with id {LOAN_ID} created {CREATION_DATE_TIME} for {LOAN_PROVIDER_NAME} has been successfully completed and approved.;;;;
LOAN_APPLICATION_COMPLETED_AND_APPROVED;SMS;en;Your loan application {LOAN_PRODUCT} {AMOUNT} FCFA with id {LOAN_ID} created {CREATION_DATE_TIME} for {LOAN_PROVIDER_NAME} has been successfully completed and approved.;;;;
LOAN_APPLICATION_COMPLETED_AND_APPROVED;XML;en;Your loan application {LOAN_PRODUCT} {AMOUNT} FCFA with id {LOAN_ID} created {CREATION_DATE_TIME} for {LOAN_PROVIDER_NAME} has been successfully completed and approved.;;;;
LOAN_APPLICATION_COMPLETED_AND_APPROVED;EMAIL;fr;Votre demande de pret{LOAN_PRODUCT} {AMOUNT} FCFA avec l'identifiant {LOAN_ID} initiee le {CREATION_DATE_TIME} pour {LOAN_PROVIDER_NAME} a ete approve avec succes;;;;
LOAN_APPLICATION_COMPLETED_AND_APPROVED;SMS;fr;Votre demande de pret{LOAN_PRODUCT} {AMOUNT} FCFA avec l'identifiant {LOAN_ID} initiee le {CREATION_DATE_TIME} pour {LOAN_PROVIDER_NAME} a ete approve avec succes;;;;
LOAN_APPLICATION_COMPLETED_AND_APPROVED;XML;fr;Votre demande de pret{LOAN_PRODUCT} {AMOUNT} FCFA avec l'identifiant {LOAN_ID} initiee le {CREATION_DATE_TIME} pour {LOAN_PROVIDER_NAME} a ete approve avec succes;;;;

LOAN_APPLICATION_COMPLETED_AND_REJECTED;EMAIL;en;Your loan application {LOAN_PRODUCT} {AMOUNT} FCFA with id {LOAN_ID} created {CREATION_DATE_TIME} for {LOAN_PROVIDER_NAME} has been rejected.;;;;
LOAN_APPLICATION_COMPLETED_AND_REJECTED;SMS;en;Your loan application {LOAN_PRODUCT} {AMOUNT} FCFA with id {LOAN_ID} created {CREATION_DATE_TIME} for {LOAN_PROVIDER_NAME} has been rejected.;;;;
LOAN_APPLICATION_COMPLETED_AND_REJECTED;XML;en;Your loan application {LOAN_PRODUCT} {AMOUNT} FCFA with id {LOAN_ID} created {CREATION_DATE_TIME} for {LOAN_PROVIDER_NAME} has been rejected.;;;;
